feed_id,normalized_title,authority,country_scope,product_scope,status_bucket,incidence_priority,event_type,display_date,latest_item_date,source_family,source_count,source_labels,primary_source_label,primary_source_url,matched_keywords,raw_hit_count,notes
amendment_to_duties_to_address_the_situation_at_our_southern_border,Amendment to Duties To Address the Situation at Our Southern Border,Trade Policy,Global,,current,medium,trade_policy_item,2025-03-02,2025-03-02,USTR,1,Presidential Tariff Actions,Amendment to Duties To Address the Situation at Our Southern Border,https://www.whitehouse.gov/presidential-actions/2025/03/amendment-to-duties-to-address-the-situation-at-our-southern-border/,duties,1,
amendment_to_duties_to_address_the_flow_of_illicit_drugs_across_our_northern_border,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,Trade Policy,Global,,current,medium,trade_policy_item,2025-03-06,2025-03-06,USTR,1,Presidential Tariff Actions,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.whitehouse.gov/presidential-actions/2025/03/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border-0c3c/,duties,1,
further_amendment_to_duties_addressing_the_synthetic_opioid_supply_chain_in_the_people_s_republic_of_china_as_applied_to_low_value_imports,Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People’s Republic of China as Applied to Low-Value Imports,Trade Policy,China,,current,medium,trade_policy_item,2025-04-02,2025-04-02,USTR,1,Presidential Tariff Actions,Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People’s Republic of China as Applied to Low-Value Imports,https://www.whitehouse.gov/presidential-actions/2025/04/further-amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china-as-applied-to-low-value-imports/,duties,1,
tariffs_work_and_president_trump_s_first_term_proves_it,Tariffs Work – and President Trump’s First Term Proves It,Trade Policy,Global,,current,medium,tariff_action,2025-04-02,2025-04-02,USTR,1,Presidential Tariff Actions,Tariffs Work – and President Trump’s First Term Proves It,https://www.whitehouse.gov/articles/2025/04/tariffs-work-and-president-trumps-first-term-proves-it/,tariff | tariffs,1,
u_s_uk_reach_historic_trade_deal,U.S.-UK Reach Historic Trade Deal,Trade Policy,Global,,current,medium,trade_policy_item,2025-05-08,2025-05-08,USTR,2,Presidential Tariff Actions,U.S.-UK Reach Historic Trade Deal,https://www.whitehouse.gov/fact-sheets/2025/05/fact-sheet-u-s-uk-reach-historic-trade-deal/,trade deal,2,
the_united_states_and_indonesia_reach_historic_trade_deal,The United States and Indonesia Reach Historic Trade Deal,Trade Policy,Global,,current,medium,trade_policy_item,2025-07-22,2025-07-22,USTR,1,Presidential Tariff Actions,The United States and Indonesia Reach Historic Trade Deal,https://www.whitehouse.gov/fact-sheets/2025/07/fact-sheet-the-united-states-and-indonesia-reach-historic-trade-deal/,trade deal,1,
the_united_states_and_european_union_reach_massive_trade_deal,The United States and European Union Reach Massive Trade Deal,Trade Policy,European Union,,current,medium,trade_policy_item,2025-07-28,2025-07-28,USTR,1,Presidential Tariff Actions,The United States and European Union Reach Massive Trade Deal,https://www.whitehouse.gov/fact-sheets/2025/07/fact-sheet-the-united-states-and-european-union-reach-massive-trade-deal/,trade deal,1,
implementing_certain_tariff_related_elements_of_the_u_s_eu_framework_on_an_agreement_on_reciprocal_fair_and_balanced_trade,"Implementing Certain Tariff-Related Elements of the U.S.-EU Framework on an Agreement on Reciprocal, Fair, and Balanced Trade",Trade Policy,Global,,current,medium,tariff_action,2025-09-25,2025-09-25,USTR,1,Presidential Tariff Actions,"Implementing Certain Tariff-Related Elements of the U.S.-EU Framework on an Agreement on Reciprocal, Fair, and Balanced Trade",https://www.federalregister.gov/documents/2025/09/25/2025-18660/implementing-certain-tariff-related-elements-of-the-us-eu-framework-on-an-agreement-on-reciprocal,tariff,1,
ambassador_greer_issues_statement_on_u_s_trade_deals_with_southeast_asian_countries,Ambassador Greer Issues Statement on U.S. Trade Deals with Southeast Asian Countries,Trade Policy,Global,,current,medium,trade_policy_item,2025-10-26,2025-10-26,USTR,1,Presidential Tariff Actions,Ambassador Greer Issues Statement on U.S. Trade Deals with Southeast Asian Countries,https://ustr.gov/about/policy-offices/press-office/press-releases/2025/october/ambassador-greer-issues-statement-us-trade-deals-southeast-asian-countries,trade deal,1,
modifying_duties_addressing_the_synthetic_opioid_supply_chain_in_the_people_s_republic_of_china,Modifying Duties Addressing the Synthetic Opioid Supply Chain in the People’s Republic of China,Trade Policy,China,,current,medium,trade_policy_item,2025-11-04,2025-11-04,USTR,1,Presidential Tariff Actions,Modifying Duties Addressing the Synthetic Opioid Supply Chain in the People’s Republic of China,https://www.whitehouse.gov/presidential-actions/2025/11/modifying-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china/,duties,1,
the_united_states_switzerland_and_liechtenstein_reach_a_historic_trade_deal,"The United States, Switzerland, and Liechtenstein Reach a Historic Trade Deal",Trade Policy,Global,,current,medium,trade_policy_item,2025-11-14,2025-11-14,USTR,1,Presidential Tariff Actions,"The United States, Switzerland, and Liechtenstein Reach a Historic Trade Deal",https://www.whitehouse.gov/fact-sheets/2025/11/fact-sheet-the-united-states-switzerland-and-liechtenstein-reach-a-historic-trade-deal/,trade deal,1,
modifying_the_scope_of_tariffs_on_the_government_of_brazil,Modifying the Scope of Tariffs on the Government of Brazil,Trade Policy,Brazil,,current,medium,tariff_action,2025-11-20,2025-11-20,USTR,1,Presidential Tariff Actions,Modifying the Scope of Tariffs on the Government of Brazil,https://www.whitehouse.gov/presidential-actions/2025/11/modifying-the-scope-of-tariffs-on-the-government-of-brazil/,tariff | tariffs,1,
ambassador_greer_issues_statement_on_joint_statement_for_a_trade_deal_with_india,Ambassador Greer Issues Statement on Joint Statement for a Trade Deal with India,Trade Policy,India,,current,medium,trade_policy_item,2026-02-06,2026-02-06,USTR,1,Presidential Tariff Actions,Ambassador Greer Issues Statement on Joint Statement for a Trade Deal with India,https://ustr.gov/about/policy-offices/press-office/press-releases/2026/february/ambassador-greer-issues-statement-joint-statement-trade-deal-india,trade deal,1,
the_united_states_and_india_announce_historic_trade_deal,The United States and India Announce Historic Trade Deal,Trade Policy,India,,current,medium,trade_policy_item,2026-02-09,2026-02-09,USTR,1,Presidential Tariff Actions,The United States and India Announce Historic Trade Deal,https://www.whitehouse.gov/fact-sheets/2026/02/fact-sheet-the-united-states-and-india-announce-historic-trade-deal/,trade deal,1,
trump_administration_finalizes_trade_deal_with_indonesia,Trump Administration Finalizes Trade Deal with Indonesia,Trade Policy,Global,,current,medium,trade_policy_item,2026-02-19,2026-02-19,USTR,1,Presidential Tariff Actions,Trump Administration Finalizes Trade Deal with Indonesia,https://www.whitehouse.gov/fact-sheets/2026/02/fact-sheet-trump-administration-finalizes-trade-deal-with-indonesia/,trade deal,1,
ending_certain_tariff_actions,Ending Certain Tariff Actions,Trade Policy,Global,,current,medium,tariff_action,2026-02-20,2026-02-20,USTR,1,Presidential Tariff Actions,Ending Certain Tariff Actions,https://www.whitehouse.gov/presidential-actions/2026/02/ending-certain-tariff-actions/,tariff,1,
president_donald_j_trump_imposes_a_temporary_import_duty_to_address_fundamental_international_payment_problems,President Donald J. Trump Imposes a Temporary Import Duty to Address Fundamental International Payment Problems,Trade Policy,Global,,current,medium,trade_policy_item,2026-02-20,2026-02-20,USTR,1,Presidential Tariff Actions,President Donald J. Trump Imposes a Temporary Import Duty to Address Fundamental International Payment Problems,https://www.whitehouse.gov/fact-sheets/2026/02/fact-sheet-president-donald-j-trump-imposes-a-temporary-import-duty-to-address-fundamental-international-payment-problems/,duty,1,
presidential_proclamation_related_to_tariffs,Presidential Proclamation Related to Tariffs,Presidential Proclamation,Global,,current,medium,presidential_action,2026-03-04,2026-03-04,White House,2,Presidential Actions | Executive Orders | Proclamations,Ratepayer Protection Pledge Proclamation,https://www.whitehouse.gov/presidential-actions/2026/03/ratepayer-protection-pledge-proclamation/,proclamation,4,"Ratepayer Protection Pledge Proclamation Presidential Actions , Proclamations March 4, 2026"
