feed_id,normalized_title,authority,country_scope,product_scope,status_bucket,incidence_priority,event_type,display_date,latest_item_date,primary_source_label,primary_source_url,source_family,source_count,source_labels,matched_keywords,raw_hit_count,notes,matched_event_id,matched_event_title,matched_case_id,matched_case_name,matched_live_case_count,matched_score,match_basis
implementing_certain_tariff_related_elements_of_the_u_s_eu_framework_on_an_agreement_on_reciprocal_fair_and_balanced_trade,"Implementing Certain Tariff-Related Elements of the U.S.-EU Framework on an Agreement on Reciprocal, Fair, and Balanced Trade",Trade Policy,Global,,current,medium,tariff_action,2025-09-25,2025-09-25,"Implementing Certain Tariff-Related Elements of the U.S.-EU Framework on an Agreement on Reciprocal, Fair, and Balanced Trade",https://www.federalregister.gov/documents/2025/09/25/2025-18660/implementing-certain-tariff-related-elements-of-the-us-eu-framework-on-an-agreement-on-reciprocal,USTR,1,Presidential Tariff Actions,tariff,1,,,,,,,,
ambassador_greer_issues_statement_on_u_s_trade_deals_with_southeast_asian_countries,Ambassador Greer Issues Statement on U.S. Trade Deals with Southeast Asian Countries,Trade Policy,Global,,current,medium,trade_policy_item,2025-10-26,2025-10-26,Ambassador Greer Issues Statement on U.S. Trade Deals with Southeast Asian Countries,https://ustr.gov/about/policy-offices/press-office/press-releases/2025/october/ambassador-greer-issues-statement-us-trade-deals-southeast-asian-countries,USTR,1,Presidential Tariff Actions,trade deal,1,,,,,,,,
modifying_duties_addressing_the_synthetic_opioid_supply_chain_in_the_people_s_republic_of_china,Modifying Duties Addressing the Synthetic Opioid Supply Chain in the People’s Republic of China,Trade Policy,China,,current,medium,trade_policy_item,2025-11-04,2025-11-04,Modifying Duties Addressing the Synthetic Opioid Supply Chain in the People’s Republic of China,https://www.whitehouse.gov/presidential-actions/2025/11/modifying-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china/,USTR,1,Presidential Tariff Actions,duties,1,,,,,,,,
reciprocal_tariff_action,Reciprocal Tariff Action,Reciprocal Tariffs,Global,,current,high,tariff_action,2025-11-14,2025-11-14,Modifying the Scope of the Reciprocal Tariff With Respect to Certain Agricultural Products,https://www.whitehouse.gov/presidential-actions/2025/11/modifying-the-scope-of-the-reciprocal-tariff-with-respect-to-certain-agricultural-products/,USTR,14,Presidential Tariff Actions,tariff | reciprocal tariff | tariffs | duties | reciprocal tariffs | trade deal,14,,,,,,,,
the_united_states_switzerland_and_liechtenstein_reach_a_historic_trade_deal,"The United States, Switzerland, and Liechtenstein Reach a Historic Trade Deal",Trade Policy,Global,,current,medium,trade_policy_item,2025-11-14,2025-11-14,"The United States, Switzerland, and Liechtenstein Reach a Historic Trade Deal",https://www.whitehouse.gov/fact-sheets/2025/11/fact-sheet-the-united-states-switzerland-and-liechtenstein-reach-a-historic-trade-deal/,USTR,1,Presidential Tariff Actions,trade deal,1,,,,,,,,
modifying_the_scope_of_tariffs_on_the_government_of_brazil,Modifying the Scope of Tariffs on the Government of Brazil,Trade Policy,Brazil,,current,medium,tariff_action,2025-11-20,2025-11-20,Modifying the Scope of Tariffs on the Government of Brazil,https://www.whitehouse.gov/presidential-actions/2025/11/modifying-the-scope-of-tariffs-on-the-government-of-brazil/,USTR,1,Presidential Tariff Actions,tariff | tariffs,1,,,,,,,,
ambassador_greer_issues_statement_on_joint_statement_for_a_trade_deal_with_india,Ambassador Greer Issues Statement on Joint Statement for a Trade Deal with India,Trade Policy,India,,current,medium,trade_policy_item,2026-02-06,2026-02-06,Ambassador Greer Issues Statement on Joint Statement for a Trade Deal with India,https://ustr.gov/about/policy-offices/press-office/press-releases/2026/february/ambassador-greer-issues-statement-joint-statement-trade-deal-india,USTR,1,Presidential Tariff Actions,trade deal,1,,,,,,,,
the_united_states_and_india_announce_historic_trade_deal,The United States and India Announce Historic Trade Deal,Trade Policy,India,,current,medium,trade_policy_item,2026-02-09,2026-02-09,The United States and India Announce Historic Trade Deal,https://www.whitehouse.gov/fact-sheets/2026/02/fact-sheet-the-united-states-and-india-announce-historic-trade-deal/,USTR,1,Presidential Tariff Actions,trade deal,1,,,,,,,,
trump_administration_finalizes_trade_deal_with_indonesia,Trump Administration Finalizes Trade Deal with Indonesia,Trade Policy,Global,,current,medium,trade_policy_item,2026-02-19,2026-02-19,Trump Administration Finalizes Trade Deal with Indonesia,https://www.whitehouse.gov/fact-sheets/2026/02/fact-sheet-trump-administration-finalizes-trade-deal-with-indonesia/,USTR,1,Presidential Tariff Actions,trade deal,1,,,,,,,,
de_minimis_action,De Minimis Action,Customs / De Minimis,China,,current,high,implementation_update,2026-02-20,2026-02-20,Continuing the Suspension of Duty-Free De Minimis Treatment for All Countries,https://www.whitehouse.gov/presidential-actions/2026/02/continuing-the-suspension-of-duty-free-de-minimis-treatment-for-all-countries/,White House,2,Presidential Tariff Actions | Executive Orders,de minimis | duty,3,"Continuing the Suspension of Duty-Free De Minimis Treatment for All Countries Presidential Actions , Executive Orders February 20, 2026",,,,,,,
ending_certain_tariff_actions,Ending Certain Tariff Actions,Trade Policy,Global,,current,medium,tariff_action,2026-02-20,2026-02-20,Ending Certain Tariff Actions,https://www.whitehouse.gov/presidential-actions/2026/02/ending-certain-tariff-actions/,USTR,1,Presidential Tariff Actions,tariff,1,,,,,,,,
president_donald_j_trump_imposes_a_temporary_import_duty_to_address_fundamental_international_payment_problems,President Donald J. Trump Imposes a Temporary Import Duty to Address Fundamental International Payment Problems,Trade Policy,Global,,current,medium,trade_policy_item,2026-02-20,2026-02-20,President Donald J. Trump Imposes a Temporary Import Duty to Address Fundamental International Payment Problems,https://www.whitehouse.gov/fact-sheets/2026/02/fact-sheet-president-donald-j-trump-imposes-a-temporary-import-duty-to-address-fundamental-international-payment-problems/,USTR,1,Presidential Tariff Actions,duty,1,,,,,,,,
presidential_proclamation_related_to_tariffs,Presidential Proclamation Related to Tariffs,Presidential Proclamation,Global,,current,medium,presidential_action,2026-03-04,2026-03-04,Ratepayer Protection Pledge Proclamation,https://www.whitehouse.gov/presidential-actions/2026/03/ratepayer-protection-pledge-proclamation/,White House,2,Presidential Actions | Executive Orders | Proclamations,proclamation,4,"Ratepayer Protection Pledge Proclamation Presidential Actions , Proclamations March 4, 2026",,,,,,,
annex_ii_potential_tariff_adjustments_for_aligned_partners_annex,"Annex II, “Potential Tariff Adjustments for Aligned Partners” Annex",Trade Policy,Global,,current,medium,tariff_action,,,"Annex II, “Potential Tariff Adjustments for Aligned Partners” Annex",https://www.whitehouse.gov/wp-content/uploads/2025/09/ANNEX-II.pdf,USTR,1,Presidential Tariff Actions,tariff,1,,,,,,,,
customs_implementation_update,Customs Implementation Update,Customs / CBP,Global,,current,medium,implementation_update,,,eCBP Broker Instruction and Training Resources,https://www.cbp.gov/trade/eCBP,CBP,4,Cargo Systems Messaging Service,cbp,4,,,,,,,,
executive_order_related_to_trade_tariffs,Executive Order Related to Trade / Tariffs,Executive Order,Global,,current,medium,presidential_action,,,Executive Orders,https://www.whitehouse.gov/presidential-actions/executive-orders/,White House,1,Presidential Actions | Executive Orders | Proclamations,executive order,3,,,,,,,,
